Nom Com,Code Iris,Classement de SCORE GLOBAL region 1,Nom Iris,Population,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,,DEPARTEMENTS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,REGIONS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES
Aast,640010000,45 786,Aast,177,69,109,54,47,76,73,66,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abainville,550010000,40 422,Abainville,305,77,94,35,86,107,54,100,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abancourt,600010000,28 461,Abancourt,648,88,94,58,88,115,70,106,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abancourt,590010000,44 503,Abancourt,461,72,117,50,66,74,72,71,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abaucourt,540010000,12 950,Abaucourt,300,103,100,132,78,88,121,85,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abaucourt-Hautecourt,550020000,11 305,Abaucourt-Hautecourt,111,105,0,171,92,99,114,97,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbans-Dessous,250010000,5 760,Abbans-Dessous,264,115,100,171,107,71,147,83,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbans-Dessus,250020000,43 631,Abbans-Dessus,304,73,107,45,76,83,66,81,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbaretz,440010000,30 822,Abbaretz,2 068,86,88,81,81,92,84,88,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbecourt,600020000,36 663,Abbecourt,768,81,121,42,87,96,69,93,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbécourt,20010000,23 216,Abbécourt,496,92,103,75,99,101,85,100,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbenans,250030000,31 385,Abbenans,352,85,81,58,72,122,65,106,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbeville,800010503,9 853,Ponthieu-Bagatelle,1 056,107,87,95,75,146,93,122,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbeville,800010502,2 862,Delique-Saint Gilles,3 214,124,87,166,100,111,140,107,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbeville,800010501,6 421,La Porte au Bois,3 319,114,87,133,110,109,118,110,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Abbeville,800010401,10 393,Faubourg de la Bouvaque,3 771,107,87,120,85,114,109,104,,AIN,96.03904555,94.68112798,91.89154013,95.10845987,101.3036876,92.8329718,99.22559653,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
